artist,id
Weather Report,503
Neil Young,504
T-Pain,505
Gwen Stefani,506
Smile Empty Soul,507
The Friday Night Boys,508
Hum,509
Khalid,510
The Nixons,511
Nelly Furtado,512
Desiigner,513
Air,514
Point Of Grace,515
Joe Satriani,516
Them,517
Jamie Cullum,518
Roger McGuinn,519
Dominican Sisters Of Mary,520
Shyne,521
Brett Eldredge,522
Nina Simone,523
Charley Pride,524
Christina Aguilera,525
Saliva,526
Thursday,527
Meiko,528
Patty Griffin,529
Mastodon,530
Kishi Bashi,531
Atlas Genius,532
The Animals,533
Luis Enrique,534
Will Smith,535
Jenny And Johnny,536
Jimmy Buffett,537
Sandi Patty,538
Leona Lewis,539
Margo Price,540
Josh Turner,541
Morris Day,542
LeToya,543
Kip Moore,544
Liam Gallagher,545
Juelz Santana,546
The Head And The Heart,547
Nancy Wilson,548
Luther Vandross,549
Sting,550
Jerry Garcia,551
K Camp,552
Slim Thug,553
Alabama Shakes,554
Crowbar,555
Hands Like Houses,556
Mos Def,557
Enya,558
Elvis Presley,559
The Word Alive,560
Dashboard Confessional,561
Hatebreed,562
El Trono de Mexico,563
Coheed And Cambria,564
Chicago,565
Roger Daltrey,566
Do Or Die,567
Pretty Ricky,568
Ani DiFranco,569
Nivea,570
Tommy Shaw,571
Overkill,572
Torche,573
Cher,574
Michael Nesmith,575
Temples,576
As It Is,577
Howie Day,578
Guster,579
Alter Bridge,580
Sugar Ray,581
Foals,582
Fuel,583
John Anderson,584
The Corrs,585
Paramore,586
Devil You Know,587
Train,588
Missy Higgins,589
John Waite,590
Patton Oswalt,591
Tracy Chapman,592
112,593
Shwayze,594
John Denver,595
Dion,596
ZZ Top,597
Santana,598
Aretha Franklin,599
Paul Simon,600
The Crystal Method,601
US3,602
Perry Como,603
Uncle Kracker,604
Busta Rhymes,605
Def Leppard,606
Johnny Mathis,607
Neil Sedaka,608
Dean Martin,609
Flight Of The Conchords,610
Survivor,611
Bryan White,612
A Skylit Drive,613
Attack Attack!,614
Tenth Avenue North,615
Charlie Puth,616
Melanie Fiona,617
Blind Guardian,618
How To Destroy Angels,619
tUnE-YaRdS,620
Bobby Womack,621
The Doobie Brothers,622
The Apex Theory,623
Insane Clown Posse,624
Florida Georgia Line,625
Angel,626
Natalie Cole,627
Sammy Kershaw,628
The Brand New Heavies,629
It's A Beautiful Day,630
Lionel Richie,631
Jake Owen,632
5 Seconds Of Summer,633
Barenaked Ladies,634
Ludacris,635
deadmau5,636
Everlast,637
Teenage Fanclub,638
James Taylor,639
Black Label Society,640
Kiiara,641
Carrie Underwood,642
Lee Ann Womack,643
Kathleen Edwards,644
Ray Price,645
Craig Finn,646
Garbage,647
alt-J,648
David Banner,649
D4L,650
Phish,651
The Meters,652
The Neighbourhood,653
Brooke White,654
Little Feat,655
Metric,656
Blind Pilot,657
Merle Haggard,658
Sum 41,659
Joni Mitchell,660
Amanda Blank,661
Slipknot,662
Ty Herndon,663
Tyrese,664
Joe,665
Electrik Red,666
Diamond Rio,667
John Prine,668
Devin The Dude,669
John Hiatt,670
Blood Orange,671
Brotha Lynch Hung,672
Nickel Creek,673
Manchester Orchestra,674
Lenny Kravitz,675
Hooters,676
Herb Alpert,677
John Rich,678
Kat DeLuna,679
Diana Ross,680
Bucky Covington,681
Rooney,682
Aztec Camera,683
Tom Jones,684
Morgan Evans,685
Quicksilver Messenger Service,686
Lana Del Rey,687
WE the Kings,688
Gene Page,689
Phoenix,690
Newsted,691
Peter Wolf,692
Def Squad,693
Jaci Velasquez,694
Dru Hill,695
Jamey Johnson,696
Frank Sinatra,697
dead prez,698
TLC,699
Grandaddy,700
Birdman,701
Rascal Flatts,702
Drake White,703
Chris Janson,704
Rodney Atkins,705
BT,706
Tracy Lawrence,707
Sammy Hagar,708
After 7,709
Slayer,710
Young Dolph,711
Mayday Parade,712
Lady Gaga,713
Charlie Wilson,714
Shooter Jennings,715
Filter,716
Justin Bieber,717
Led Zeppelin,718
Darius Rucker,719
Annie Lennox,720
Madeleine Peyroux,721
Lighthouse,722
Billy Gilman,723
Daddy Yankee,724
Tower Of Power,725
Mogwai,726
Miranda Lambert,727
Brad Paisley,728
Troye Sivan,729
Dua Lipa,730
Espinoza Paz,731
David Bisbal,732
The Front Bottoms,733
Cheap Trick,734
Ozuna,735
Disturbed,736
Blues Traveler,737
TV On The Radio,738
Propaganda,739
Rick Trevino,740
Fugazi,741
Matisyahu,742
Rusted Root,743
Snap!,744
Stephen Stills,745
Atreyu,746
Kirk Franklin,747
Steven Curtis Chapman,748
Gerardo Ortiz,749
Ty England,750
Barry Manilow,751
Sebadoh,752
Tina Turner,753
Megadeth,754
Atlantic Starr,755
Seth MacFarlane,756
Sisyphus,757
The Murderers,758
Grateful Dead,759
Great Big Sea,760
Less Than Jake,761
Billy Ray Cyrus,762
Danny Gokey,763
Silversun Pickups,764
Jeff Buckley,765
King's X,766
Chris LeDoux,767
Black Milk,768
Hopsin,769
Andrew Peterson,770
Mandisa,771
Creedence Clearwater Revival,772
Bury Your Dead,773
Kylie Minogue,774
John Fogerty,775
The Men,776
10 Years,777
Chris Botti,778
Chickenfoot,779
Norma Jean,780
Faith Hill,781
Tom Tom Club,782
Alice In Chains,783
Jonny Lang,784
Minnie Riperton,785
The Alarm,786
Pinmonkey,787
Johnny Winter,788
Times Of Grace,789
Alison Wonderland,790
Poe,791
Los Lonely Boys,792
Kevin Spacey,793
Dave Matthews Band,794
Trapt,795
Sleater-Kinney,796
Sawyer Brown,797
Icehouse,798
The Ventures,799
Moby,800
Lil Yachty,801
Matt Nathanson,802
Rihanna,803
Never Shout Never,804
Alex Clare,805
Kaskade,806
Missing Persons,807
Elastica,808
James Cotton,809
YoungBloodZ,810
Billy Joel,811
Jim James,812
Donnie McClurkin,813
Jimi Hendrix,814
Goldfrapp,815
Suzanne Vega,816
Pitbull,817
Cannibal Corpse,818
Ray Davies,819
Rancid,820
Bette Midler,821
Smash Mouth,822
Bilal,823
Mystikal,824
Genius/GZA,825
Linda Ronstadt,826
Craig Campbell,827
Lesley Gore,828
Queens Of The Stone Age,829
Otis Redding,830
Heavens,831
Chief Keef,832
Keith Richards,833
Parliament,834
Alesana,835
Craig Morgan,836
the twilight singers,837
Son Volt,838
The Isley Brothers,839
Calibre 50,840
Chris Cagle,841
The Used,842
Ebony Eyez,843
Eva Cassidy,844
2NE1,845
Face To Face,846
Type O Negative,847
The Bears,848
Unwritten Law,849
Seether,850
The Get Up Kids,851
The Stylistics,852
Oasis,853
Mitch Hedberg,854
Colony House,855
The Byrds,856
Blue Cheer,857
Tom Waits,858
Michael Penn,859
21 Savage,860
The Menzingers,861
Tash,862
Nichole Nordeman,863
Alice Cooper,864
Green Day,865
Thalia,866
Jimmy Eat World,867
Anne Murray,868
2Pac,869
Rita Coolidge,870
Del Amitri,871
In Flames,872
Superchunk,873
Young Money,874
The Statler Brothers,875
Nick Jonas,876
Fiction Family,877
Tokyo Police Club,878
Al Green,879
Paolo Nutini,880
Foo Fighters,881
Post Malone,882
Ray Charles,883
Throwdown,884
Hoodie Allen,885
Vance Joy,886
Lindsay Ell,887
Rod Stewart,888
Hot Chip,889
Letters To Cleo,890
Mark Chesnutt,891
Dishwalla,892
Richard Marx,893
James Blunt,894
Tegan And Sara,895
Deana Carter,896
Shirley Murdock,897
Shinedown,898
Judy Collins,899
Madeon,900
Michael Buble,901
Clay Aiken,902
Night Ranger,903
Erasure,904
Robbie Williams,905
David Kersh,906
The Band Perry,907
Watsky,908
Ashley Tisdale,909
Calum Scott,910
Tom Keifer,911
Young Gunz,912
Kellie Coffey,913
Justin Townes Earle,914
Madness,915
Tamela Mann,916
Billy Talent,917
Simple Minds,918
Wolf Alice,919
L7,920
Trick Daddy,921
Anastacia,922
Monica,923
Color Me Badd,924
Steve Vai,925
Pinback,926
Rise Against,927
Jethro Tull,928
Rory Gallagher,929
Glen Campbell,930
Corrosion Of Conformity,931
twenty one pilots,932
Jay Critch,933
Jewel,934
Utada,935
